Item,price x1,price x10,price x100,chosen price,
Ailes cassées,95.0,0.0,0.0,95.0
Ailes de Moskito,75.0,30.6,34.95,34.95
Aile du Tofu Maléfique,5.0,9.6,9.98,9.98
Aile de Dragodinde,18.0,13.0,5.0,5.0
Aile de Dragodinde Rousse Sauvage,38.0,7.0,4.22,4.22
Ailes de Scarafeuille blanc,255.0,129.8,135.95,135.95
Ailes de Scarafeuille bleu,299.0,269.5,287.54,287.54
Ailes de Scarafeuille rouge,199.0,108.5,147.7,147.7
Ailes de Scarafeuille vert,0.0,95.6,99.34,99.34
Ailes du Scarafeuille Noir,0.0,99.9,9.95,9.95
Ailes du Scarabosse Doré,957.0,1045.3,1149.96,1149.96
Aile de Dragoeuf Volant,110.0,124.7,116.63,116.63
Aile du Bitouf des plaines,38.0,19.9,26.48,26.48
Carapace de Scaratos,39.0,12.0,5.98,5.98
Carapace vide de Crabe,150.0,139.0,0.0,139.0
Carapace Bleue Vide,0.0,258.9,291.03,291.03
Carapace Jaune Vide,99.0,74.8,78.93,78.93
Carapace Rouge Vide,199.0,144.9,139.74,139.74
Carapace Verte Vide,245.0,248.6,255.54,255.54
Carapace de Scarafeuille Blanc,90.0,9.6,6.9,6.9
Carapace de Scarafeuille Bleu,51.0,7.9,3.99,3.99
Carapace de Scarafeuille Rouge,133.0,199.1,197.9,197.9
Carapace de Scarafeuille Vert,88.0,11.7,6.72,6.72
Carapace de Scorbute,19.0,9.8,8.88,8.88
Carapace de Scarafeuille Noir,28.0,30.0,19.61,19.61
Carapace du Scarabosse Doré,7893.0,8592.7,0.0,8592.7
Coquille de Dragoss Blanc,114.0,232.8,475.0,475.0
Coquille de Dragoss de Saphir,42.0,99.2,89.99,89.99
Coquille de Dragoss Doré,76.0,147.9,88.99,88.99
Coquille de Dragoss Noir,69.0,136.9,169.99,169.99
Coquille de Dragoeuf Blanc,35.0,17.8,16.49,16.49
Coquille de Dragoeuf Doré,33.0,33.9,41.4,41.4
Coquille de Dragoeuf Noir,50.0,78.7,94.97,94.97
Coquille de Dragoeuf Saphir,110.0,149.6,149.96,149.96
Protection de la Dragueuse,18.0,20.0,0.0,20.0
Coco du Bitouf des plaines,295.0,295.0,299.99,299.99
Fragment de Coquille d'Aerohouctor le...,1385.0,1299.8,0.0,1299.8
Fragment de Coquille d'Aquabralak le …,1437.0,1499.8,0.0,1499.8
Fragment de Coquille d'Ignelicrobur le...,1489.0,1400.0,0.0,1400.0
Fragment de Coquille de Terrakoubiak...,1218.0,1380.0,0.0,1380.0
Coco du Bitouf aérien,14442.0,14999.9,0.0,14999.9
Coquille du Kaskargo,4968.0,6977.2,0.0,6977.2
Coco du Bitouf sombre,5344.0,5286.0,0.0,5286.0
Cuir du Boufcoul,44.0,42.0,18.99,18.99
Cuir de Boufton Blanc,102.0,36.5,31.59,31.59
Cuir de Boufton Noir,78.0,24.0,17.79,17.79
Cuir de Bouftou,77.0,13.0,13.83,13.83
Cuir de Sanglier,72.0,39.9,36.97,36.97
Slip en Cuir Moulant du Vampire,58.0,59.9,86.9,86.9
Cuir du Cochon de Lait,92.0,84.6,89.0,89.0
Slip en cuir de Porkass,2996.0,3400.0,3999.99,3999.99
Cuir du Chef de Guerre Bouftou,3.0,7.8,6.95,6.95
Slip en cuir de Cochon de Lait,106.0,149.3,149.0,149.0
Slip de Bwork Archer,2.0,3.9,2.75,2.75
Cuir Violet de Bwork,250.0,199.9,45.54,45.54
Cuir de Bouftou Royal,1560.0,1986.5,0.0,1986.5
Cuir de Porkass,6.0,4.0,1.79,1.79
Selle en Cuir,550.0,0.0,0.0,550.0
Cuir de Sanglier des Plaines,58.0,58.8,42.92,42.92
Slip en cuir du Chafer Lancier,329.0,249.4,279.84,279.84
Cuir du Dragon Cochon,1110.0,999.9,1749.99,1749.99
Cuir Noir,5188.0,5488.8,0.0,5488.8
Cuir de Déminoboule,1.0,2.7,0.0,2.7
Cuir de Mominotor,1.0,2.4,0.0,2.4
Cuir du Minotot,72.0,100.0,0.0,100.0
Slip de Trool,2990.0,0.0,0.0,2990.0
Cuir de Minotoror,2093.0,2398.2,2690.0,2690.0
Etoffe du Fauchalak,6294.0,6299.4,0.0,6299.4
Tissu de Rapiéçage,15000.0,0.0,0.0,15000.0
Toile peu ragoutante,1494.0,0.0,0.0,1494.0
Etoffe du Sanglier,7.0,3.0,7.72,7.72
Tissu Sanguin,99.0,132.7,59.98,59.98
Etoffe du Prespic,33.0,46.6,64.94,64.94
Etoffe du Wabbit,25.0,30.0,12.0,12.0
Etoffe de Croc Gland,497.0,489.8,1199.99,1199.99
Etoffe d'Ours,1000.0,4499.8,0.0,4499.8
Tissu Invisible,9.0,16.8,17.79,17.79
Tissu Pourpre,50.0,21.9,5.94,5.94
Etoffe de Dok Alako,38.0,39.8,28.99,28.99
Etoffe de Pandikaze,196.0,220.8,239.98,239.98
Etoffe de Sanglier des Plaines,0.0,15.0,8.98,8.98
Fibre de Chanvre,0.0,2.9,1.85,1.85
Fibre de Lin,26.0,19.9,20.0,20.0
Tissu Sombre,160.0,289.9,290.0,290.0
Linceul,9997.0,9999.8,11000.0,11000.0
Etoffe de Kanigrou,47.0,17.8,9.88,9.88
Etoffe du Mulou,100.0,160.0,0.0,160.0
Etoffe de Ouassingue,50.0,44.8,38.97,38.97
Etoffe de Fantôme Léopardo,14989.0,14999.8,0.0,14999.8
